title,votes,body,link,tags
How do I redirect to another page in jQuery?,5870,"

",http://stackoverflow.com/questions/503093/how-do-i-redirect-to-another-page-in-jquery,"javascript,jquery,redirect"
What does the “yield” keyword do?,5736,"

",http://stackoverflow.com/questions/231767/what-does-the-yield-keyword-do,"python,iterator,generator,yield,coroutine"
What is the name of the “-->” operator in C++?,6016,"

",http://stackoverflow.com/questions/1642028/what-is-the-name-of-the-operator-in-c,"c++,operators,code-formatting,standards-compliance"
How do JavaScript closures work?,6812,"

",http://stackoverflow.com/questions/111102/how-do-javascript-closures-work,"javascript,scope,closures"
Difference between 'git pull' and 'git fetch',7038,"

",http://stackoverflow.com/questions/292357/difference-between-git-pull-and-git-fetch,"git,git-pull,git-fetch"
What is the correct JSON content type?,7366,"

",http://stackoverflow.com/questions/477816/what-is-the-correct-json-content-type,"json,content-type"
"How to modify existing, unpushed commits?",7688,"

",http://stackoverflow.com/questions/179123/how-to-modify-existing-unpushed-commits,"git,git-commit,git-rewrite-history,amend"
Why is it faster to process a sorted array than an unsorted array?,16365,"

",http://stackoverflow.com/questions/11227809/why-is-it-faster-to-process-a-sorted-array-than-an-unsorted-array,"java,c++,performance,optimization,branch-prediction"
How to remove local (untracked) files from the current Git branch?,4068,"

",http://stackoverflow.com/questions/61212/how-to-remove-local-untracked-files-from-the-current-git-branch,"git,branch,git-branch"
Which equals operator (== vs ===) should be used in JavaScript comparisons?,4217,"

",http://stackoverflow.com/questions/359494/which-equals-operator-vs-should-be-used-in-javascript-comparisons,"javascript,operators,equality,equality-operator,identity-operator"
"What is the difference between “px”, “dp”, “dip” and “sp” on Android?",3951,"

",http://stackoverflow.com/questions/2025282/what-is-the-difference-between-px-dp-dip-and-sp-on-android,"android,android-layout,user-interface,dimension,units-of-measurement"
How to revert Git repository to a previous commit?,4054,"

",http://stackoverflow.com/questions/4114095/how-to-revert-git-repository-to-a-previous-commit,"git,git-reset,git-revert"
How to delete a Git branch both locally and remotely?,9064,"

",http://stackoverflow.com/questions/2003505/how-to-delete-a-git-branch-both-locally-and-remotely,"git,git-branch,git-remote"
How to undo last commit(s) in Git?,12455,"

",http://stackoverflow.com/questions/927358/how-to-undo-last-commits-in-git,"git,git-rebase,git-commit,git-reset,git-revert"
How to pass “Null” (a real surname!) to a SOAP web service in ActionScript 3?,4082,"

",http://stackoverflow.com/questions/4456438/how-to-pass-null-a-real-surname-to-a-soap-web-service-in-actionscript-3,"flex,actionscript,soap,coldfusion,wsdl"
Can comments be used in JSON?,3997,"

",http://stackoverflow.com/questions/244777/can-comments-be-used-in-json,"json,comments"
How do I include a JavaScript file in another JavaScript file?,3075,"

",http://stackoverflow.com/questions/950087/how-do-i-include-a-javascript-file-in-another-javascript-file,"javascript,file,import,include"
Setting “checked” for a checkbox with jQuery?,2843,"

",http://stackoverflow.com/questions/426258/setting-checked-for-a-checkbox-with-jquery,"javascript,jquery,checkbox,selected,checked"
Getting the Current/Present working directory of a Bash script from within the script,3005,"

",http://stackoverflow.com/questions/59895/getting-the-current-present-working-directory-of-a-bash-script-from-within-the-s,"bash,directory"
Which “href” value to use for JavaScript links: “#” or “javascript:void(0)”?,3020,"

",http://stackoverflow.com/questions/134845/which-href-value-to-use-for-javascript-links-or-javascriptvoid0,"javascript,html,performance,optimization,href"
How to clone all remote branches in Git?,2910,"

",http://stackoverflow.com/questions/67699/how-to-clone-all-remote-branches-in-git,"git,git-branch,git-clone,remote-branch"
How do I check whether a file exists using Python?,2847,"

",http://stackoverflow.com/questions/82831/how-do-i-check-whether-a-file-exists-using-python,"python,file,filesystems"
How do I check if a checkbox is checked in jQuery?,3008,"

",http://stackoverflow.com/questions/901712/how-do-i-check-if-a-checkbox-is-checked-in-jquery,"javascript,jquery,checkbox"
How to pair socks from a pile efficiently?,3005,"

",http://stackoverflow.com/questions/14415881/how-to-pair-socks-from-a-pile-efficiently,"algorithm,sorting,language-agnostic,matching"
What is the difference between “INNER JOIN” and “OUTER JOIN”?,3130,"

",http://stackoverflow.com/questions/38549/what-is-the-difference-between-inner-join-and-outer-join,"mysql,database,join,inner-join,outer-join"
How to force “git pull” to overwrite local files?,3379,"

",http://stackoverflow.com/questions/1125968/how-to-force-git-pull-to-overwrite-local-files,"git,version-control,overwrite,git-pull,git-fetch"
PUT vs POST in REST,3229,"

",http://stackoverflow.com/questions/630453/put-vs-post-in-rest,"http,rest,post,put"
How to disable text selection highlighting using CSS?,3379,"

",http://stackoverflow.com/questions/826782/how-to-disable-text-selection-highlighting-using-css,"css,cross-browser,highlighting,textselection"
How to resolve merge conflicts in Git?,3274,"

",http://stackoverflow.com/questions/161813/how-to-resolve-merge-conflicts-in-git,"git,git-merge,merge-conflict-resolution,git-conflict-resolution"
What is the maximum length of a URL in different browsers?,3217,"

",http://stackoverflow.com/questions/417142/what-is-the-maximum-length-of-a-url-in-different-browsers,"http,url,browser,max,content-length"
What is a metaclass in Python?,3337,"

",http://stackoverflow.com/questions/100003/what-is-a-metaclass-in-python,"python,oop,metaclass,python-datamodel"
What is the most efficient way to deep clone an object in JavaScript?,3345,"

",http://stackoverflow.com/questions/122102/what-is-the-most-efficient-way-to-deep-clone-an-object-in-javascript,"javascript,object,clone"
How to remove a property from a JavaScript object?,3401,"

",http://stackoverflow.com/questions/208105/how-to-remove-a-property-from-a-javascript-object,"javascript,javascript-objects,object-properties"
What is the difference between String and string in C#?,3915,"

",http://stackoverflow.com/questions/7074/what-is-the-difference-between-string-and-string-in-c,"c#,string,types"
How to check out a remote Git branch?,3574,"

",http://stackoverflow.com/questions/1783405/how-to-check-out-a-remote-git-branch,"git,git-checkout,remote-branch"
The Definitive C++ Book Guide and List,4263,"

",http://stackoverflow.com/questions/388242/the-definitive-c-book-guide-and-list,"c++,c++-faq"
How to remove a particular element from an array in JavaScript?,3626,"

",http://stackoverflow.com/questions/5767325/how-to-remove-a-particular-element-from-an-array-in-javascript,"javascript,arrays"
The definitive guide to form-based website authentication [closed],4279,"

",http://stackoverflow.com/questions/549/the-definitive-guide-to-form-based-website-authentication,"security,http,authentication,language-agnostic,article"
Is Java “pass-by-reference” or “pass-by-value”?,3768,"

",http://stackoverflow.com/questions/40480/is-java-pass-by-reference-or-pass-by-value,"java,methods,parameter-passing,pass-by-reference,pass-by-value"
What is a plain English explanation of “Big O” notation?,3741,"

",http://stackoverflow.com/questions/487258/what-is-a-plain-english-explanation-of-big-o-notation,"algorithm,complexity-theory,computer-science,big-o,time-complexity"
Why is subtracting these two times (in 1927) giving a strange result?,4730,"

",http://stackoverflow.com/questions/6841333/why-is-subtracting-these-two-times-in-1927-giving-a-strange-result,"java,date,timezone"
How to undo 'git add' before commit?,5367,"

",http://stackoverflow.com/questions/348170/how-to-undo-git-add-before-commit,"git,version-control,git-stage"
Why does HTML think “chucknorris” is a color?,4789,"

",http://stackoverflow.com/questions/8318911/why-does-html-think-chucknorris-is-a-color,"html,background-color"
How to rename a local Git branch?,4507,"

",http://stackoverflow.com/questions/6591213/how-to-rename-a-local-git-branch,"git,git-branch"
How to check if one string contains another substring in JavaScript?,5439,"

",http://stackoverflow.com/questions/1789945/how-to-check-if-one-string-contains-another-substring-in-javascript,"javascript,string,substring,string-matching"
What and where are the stack and heap?,5537,"

",http://stackoverflow.com/questions/79923/what-and-where-are-the-stack-and-heap,"memory-management,language-agnostic,stack,heap"
"What does “use strict” do in JavaScript, and what is the reasoning behind it?",5139,"

",http://stackoverflow.com/questions/1335851/what-does-use-strict-do-in-javascript-and-what-is-the-reasoning-behind-it,"javascript,syntax,jslint,use-strict"
JavaScript function declaration syntax: var fn = function() {} vs function fn() {},4585,"

",http://stackoverflow.com/questions/336859/javascript-function-declaration-syntax-var-fn-function-vs-function-fn,"javascript,function,syntax,idioms"
“Thinking in AngularJS” if I have a jQuery background? [closed],4535,"

",http://stackoverflow.com/questions/14994391/thinking-in-angularjs-if-i-have-a-jquery-background,"javascript,jquery,angularjs,design"
How do I check if an element is hidden in jQuery?,5137,"

",http://stackoverflow.com/questions/178325/how-do-i-check-if-an-element-is-hidden-in-jquery,"javascript,jquery,dom,visibility"
